         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         Q5SK17,       8.40,  0.1492902,       4.40,  0.1614876,       0.00,  0.0874276,       0.40,  0.0204552,       0.00,  0.0096543,       7.20,  0.1648416,       0.00,  0.0842882,  0.2423426, -0.5693148,   250
         Q5SK16,      38.99,  0.4095708,      13.30,  0.3132694,      11.93,  0.2438389,       5.96,  0.2375762,       2.29,  0.2459799,      10.09,  0.2153180,       6.88,  0.2369524, -0.0075143, -0.1169214,   218
         Q5SK15,      15.48,  0.2699135,       6.69,  0.3080655,       0.00,  0.1781715,       2.93,  0.2204649,       1.67,  0.2346628,       3.35,  0.1649493,       0.42,  0.1996759,  0.1288806, -0.1848686,   478
         Q5SK14,      36.24,  0.4000244,       9.61,  0.3308414,       2.18,  0.3079351,       4.37,  0.2251641,       0.87,  0.2521999,      10.48,  0.2321151,       4.37,  0.2400576, -0.0000216, -0.1788301,   229
         Q5SK13,      37.96,  0.4177925,      16.79,  0.2985428,       0.00,  0.2130777,       4.38,  0.1850562,       0.00,  0.1571978,      12.41,  0.2633635,       0.73,  0.2203255, -0.0184180, -0.2366822,   137
         Q5SK12,      15.97,  0.2129140,       2.28,  0.2248368,       0.00,  0.1658311,       0.38,  0.0921616,       0.00,  0.0795820,       5.32,  0.1702094,       0.38,  0.1299507,  0.1844878, -0.3535594,   263
         Q5SK11,      36.18,  0.3828395,      27.63,  0.3839236,      25.22,  0.3150345,      13.60,  0.1991812,       7.68,  0.2045463,      10.96,  0.2348288,      18.20,  0.2867257,  0.0141198, -0.1408122,   456
         Q5SK10,      71.51,  0.6040671,      52.14,  0.5206275,      58.97,  0.5225745,      16.81,  0.2565206,      12.25,  0.2632905,      37.89,  0.4264766,      38.18,  0.4322595, -0.2027475, -0.1358963,   351
         Q5SK09,      34.28,  0.3776121,      22.31,  0.3736868,      11.98,  0.3216831,       4.64,  0.2067451,       5.99,  0.2441964,       2.69,  0.2248835,       1.80,  0.2378541,  0.0223743, -0.0954339,   668
         Q5SK08,       4.40,  0.1126257,      13.74,  0.2206387,       0.00,  0.1489163,       1.10,  0.0283764,       0.00,  0.0083280,       7.69,  0.1611844,       0.55,  0.0885255,  0.2801383, -0.4829015,   182
         Q5SK07,      35.87,  0.4233282,       5.43,  0.2745593,       0.00,  0.2137055,       8.70,  0.1567163,       0.00,  0.1041879,      25.00,  0.3220928,       0.00,  0.2134807, -0.0226270, -0.2816337,    92
         Q5SK06,      52.02,  0.4483280,      39.92,  0.4587061,      25.40,  0.4020004,       3.23,  0.2054064,       3.63,  0.2161636,      18.95,  0.3076996,       3.23,  0.2727174, -0.0464349, -0.2393145,   248
         Q5SK05,      29.39,  0.3776834,      12.28,  0.3184795,       0.00,  0.2003569,       5.26,  0.2187114,       2.63,  0.2124237,      10.09,  0.1987162,       0.00,  0.2210023,  0.0228917, -0.2189736,   228
         Q5SK03,      50.34,  0.4657134,      40.14,  0.4373391,      38.78,  0.4660631,       7.48,  0.2080885,       0.00,  0.2021058,      19.05,  0.3386213,       8.16,  0.2753114, -0.0650738, -0.0980353,   147
         Q5SK02,      51.11,  0.5058517,      30.00,  0.3929347,      30.00,  0.3756439,      16.67,  0.2490456,       5.56,  0.2577330,      27.78,  0.4025492,      15.56,  0.3013523, -0.1053685, -0.2453573,    90
         Q5SJZ9,      17.10,  0.2766767,      10.36,  0.2715572,       8.29,  0.2388006,       4.66,  0.1076451,       0.00,  0.0736265,      11.92,  0.2094097,       4.15,  0.1564859,  0.1226338, -0.2785614,   193
         Q5SJZ8,      35.41,  0.4251425,      27.27,  0.3940011,      31.58,  0.4195743,       2.39,  0.1875712,       0.00,  0.2026947,      13.88,  0.3049862,       0.96,  0.2523994, -0.0242574, -0.1869197,   209
         Q5SJZ7,      35.71,  0.3219660,       9.82,  0.2335291,       8.04,  0.1832518,       1.79,  0.0903104,       1.19,  0.0818929,       3.87,  0.2045054,       0.60,  0.1553673,  0.0738081, -0.4256628,   336
         Q5SJZ0,      29.86,  0.3480191,      15.05,  0.3677332,      20.14,  0.3094797,       3.70,  0.1878599,       3.24,  0.1954160,      10.19,  0.2559401,       7.41,  0.2774080,  0.0517843, -0.2734053,   432
         Q5SJY9,      42.86,  0.4613809,      34.62,  0.4390897,      46.15,  0.4799976,      13.74,  0.2619511,       9.34,  0.2848733,      20.88,  0.3270625,      22.53,  0.3757259, -0.0591475, -0.2121185,   182
         Q5SJY8,      62.50,  0.5769817,      57.81,  0.5074424,      53.91,  0.5058404,      10.16,  0.3028742,       0.78,  0.2980665,      25.00,  0.3702434,       3.91,  0.3426013, -0.1758199, -0.1361099,   128
         Q5SJY7,      20.00,  0.2957930,      14.56,  0.3128062,      10.29,  0.2071376,       3.69,  0.1996850,       4.27,  0.2231089,       5.63,  0.1849746,       0.97,  0.2027280,  0.1028300, -0.1941921,   515
         Q5SJY6,      21.41,  0.2790786,       9.14,  0.3622403,      10.44,  0.3389214,       1.31,  0.1787362,       0.26,  0.1936478,       2.35,  0.1889258,       0.00,  0.2004382,  0.1199985, -0.2490135,   383
         Q5SJY5,      29.41,  0.3425944,      31.37,  0.4173295,      15.69,  0.2336396,      11.76,  0.2748608,       2.94,  0.2809847,      33.33,  0.3799738,       9.80,  0.2826239,  0.0541740, -0.0915856,   102
         Q5SJY3,      25.00,  0.3271339,      15.25,  0.3244944,       6.36,  0.2091471,       5.51,  0.2110220,       3.39,  0.2051994,      10.17,  0.2301558,       4.24,  0.2163342,  0.0729883, -0.2000200,   236
         Q5SJY2,      60.69,  0.6093736,      63.45,  0.6571180,      65.52,  0.6346335,      39.31,  0.3277456,      44.14,  0.4136738,      64.14,  0.5713696,      58.62,  0.5356524, -0.2083953, -0.2275059,   145
         Q5SJY1,      25.74,  0.3234765,      34.93,  0.4649116,      38.97,  0.4169163,      12.50,  0.1832335,       9.19,  0.1685978,      26.84,  0.3440551,      24.26,  0.3168651,  0.0750073, -0.3532711,   272
         Q5SJY0,      52.57,  0.4938138,      26.56,  0.3948798,      25.20,  0.4205738,       2.71,  0.2231089,       5.42,  0.2576455,      10.30,  0.2821146,       0.00,  0.2752604, -0.0936341, -0.2435192,   369
         Q5SJX9,      33.85,  0.4047773,      22.31,  0.3449529,      22.69,  0.2981882,       5.38,  0.1783905,       2.31,  0.1809192,      10.38,  0.2657622,       2.31,  0.2291337, -0.0052190, -0.1808417,   260
         Q5SJX5,      20.24,  0.2468950,      10.53,  0.2414556,       0.00,  0.1682857,       1.62,  0.0580340,       0.00,  0.0453193,       8.50,  0.2053021,       1.21,  0.1328343,  0.1474025, -0.5332696,   247
         Q5SJX4,      29.03,  0.3406442,      12.44,  0.3369870,      16.59,  0.3681075,      11.06,  0.1973498,       1.84,  0.1699806,      12.44,  0.2463786,       6.45,  0.2152234,  0.0584615, -0.1933838,   217
         Q5SJX3,      25.44,  0.3618685,      34.01,  0.4113572,      27.46,  0.3454779,       7.05,  0.2084865,       7.56,  0.2294130,       9.82,  0.2581055,      11.84,  0.3024514,  0.0377074, -0.1469204,   397
         Q5SJX2,       7.18,  0.1429176,       2.31,  0.1865307,       0.00,  0.1166739,       0.26,  0.0217408,       0.00,  0.0143870,       5.38,  0.1522944,       0.00,  0.0863117,  0.2525375, -0.4705816,   390
         Q5SJX1,      24.67,  0.3278293,      11.01,  0.2900662,      10.13,  0.2367969,       5.73,  0.1455106,       0.44,  0.1417450,      14.54,  0.2433874,       4.41,  0.1914231,  0.0733196, -0.2366070,   227
         Q5SJX0,      43.42,  0.4254007,      22.08,  0.3679984,      21.59,  0.3074106,       3.97,  0.1785089,       1.24,  0.1865688,       7.44,  0.2480561,      11.41,  0.2856573, -0.0272350, -0.2222814,   403
         Q5SJW9,      37.21,  0.4389200,      18.02,  0.3688408,       2.33,  0.3763643,       5.81,  0.2174390,       0.58,  0.2182763,      14.53,  0.2765549,       1.16,  0.2533383, -0.0382109, -0.0947869,   172
         Q5SJW8,      60.23,  0.5247953,      39.77,  0.4456271,      26.32,  0.4148136,       8.77,  0.2610064,      12.28,  0.2927243,      26.32,  0.3590125,      22.22,  0.3829965, -0.1233802, -0.0295990,   171
         Q5SJW7,      30.69,  0.3374772,      29.66,  0.3562805,      17.93,  0.2845763,      16.90,  0.2284517,      13.45,  0.2289882,      11.03,  0.2798446,       1.72,  0.2385070,  0.0600529, -0.1677590,   290
         Q5SJW6,       6.45,  0.1809060,      14.52,  0.3214684,       9.95,  0.2049409,       2.96,  0.1667043,       1.88,  0.1788496,       2.15,  0.1698669,       0.27,  0.1696325,  0.2200974, -0.1084078,   372
         Q5SJW5,      52.72,  0.4892582,      28.65,  0.3687930,      31.81,  0.3706030,       7.74,  0.2036628,       2.29,  0.1976014,       9.74,  0.2834128,      18.91,  0.3188885, -0.0884408, -0.1986497,   349
         Q5SJW2,      35.12,  0.3825278,      11.53,  0.3352635,       4.46,  0.2518753,       1.44,  0.1740655,       0.13,  0.1955759,       3.67,  0.1839574,       0.92,  0.2118984,  0.0174857, -0.1984021,   763
         Q5SJW0,      37.78,  0.3793233,      21.49,  0.3616019,      23.74,  0.3284694,       2.43,  0.1737560,       1.39,  0.1921986,       8.84,  0.2479680,       1.73,  0.2258081,  0.0194167, -0.2109425,   577
         Q5SJV7,      59.12,  0.5185175,      35.04,  0.4402024,      26.28,  0.3849603,       5.11,  0.2080687,       1.46,  0.2035370,      33.58,  0.4002661,       0.73,  0.2950986, -0.1191480, -0.2555917,   137
         Q5SJV6,      21.93,  0.2856265,       8.33,  0.2616406,       0.00,  0.1631314,       2.63,  0.1149140,       0.00,  0.0773284,       7.89,  0.2232093,       1.32,  0.1604532,  0.1117075, -0.4033617,   228
         Q5SJV5,      23.17,  0.3393312,      59.76,  0.5836461,      64.63,  0.6229802,       4.88,  0.1803378,       0.00,  0.1513821,      25.61,  0.3857602,       0.00,  0.2734096,  0.0592791, -0.0704820,    82
         Q5SJV4,      54.63,  0.5596873,      39.81,  0.4655175,      19.44,  0.4298403,      13.89,  0.2704009,      12.04,  0.3188019,      34.26,  0.4253784,      28.70,  0.4116045, -0.1538870, -0.0834620,   108
         Q5SJV3,      70.24,  0.6265147,      74.01,  0.7268486,      76.19,  0.6163794,       7.94,  0.2912093,      13.49,  0.3685222,      58.63,  0.5489285,      63.39,  0.5297343, -0.2254975, -0.1156224,  1008
         Q5SJV0,       3.03,  0.2332150,       7.58,  0.2918854,       0.00,  0.2380172,       5.30,  0.1043583,       0.00,  0.0727150,      12.88,  0.1987918,       2.27,  0.1501609,  0.1651365, -0.2420819,   132
         Q5SJU7,      56.70,  0.5954260,      58.25,  0.5576726,      78.35,  0.5721722,      28.35,  0.3808912,      34.02,  0.4186855,      40.21,  0.4629282,      29.90,  0.4026004, -0.1922987, -0.0256083,   194
         Q5SJU5,      70.71,  0.6767265,      75.76,  0.6701381,      74.75,  0.6647470,      58.59,  0.5034736,      71.72,  0.6381180,      70.71,  0.6507112,      74.75,  0.6339859, -0.2727422,  0.0362702,    99
         Q5SJU4,     100.00,  0.8214539,     100.00,  0.8237228,     100.00,  0.7390715,      72.09,  0.6449721,      69.77,  0.6342483,     100.00,  0.9018573,     100.00,  0.6377089, -0.4184435,  0.1754338,    43
         Q5SJU3,     100.00,  0.8181861,     100.00,  0.9873717,     100.00,  0.9459293,     100.00,  0.8839085,     100.00,  0.9694926,     100.00,  0.9836114,     100.00,  0.9314166, -0.4131463,  0.2068853,    36
         Q5SJU2,      48.28,  0.5138752,     100.00,  0.8713900,     100.00,  0.8470632,      79.31,  0.6750396,     100.00,  0.7669914,     100.00,  0.8933046,     100.00,  0.7612773, -0.1130506,  0.1397472,    58
         Q5SJU1,      67.68,  0.6999518,      58.59,  0.6317922,      53.54,  0.5906146,      49.49,  0.4850475,      46.46,  0.5296457,      67.68,  0.6324512,      58.59,  0.5949173, -0.2969847, -0.1459805,    99
         Q5SJU0,      34.67,  0.3220155,      42.67,  0.4118429,      26.67,  0.3194231,      22.67,  0.2744814,       2.67,  0.2301027,      38.67,  0.4024881,      13.33,  0.2734884,  0.0750759, -0.2412700,    75
         Q5SJT9,      41.03,  0.4867001,     100.00,  0.6459870,       0.00,  0.4387944,      35.90,  0.4624974,      10.26,  0.4025229,      76.92,  0.6976481,      33.33,  0.4492259, -0.0870779, -0.1526066,    39
         Q5SJT8,      80.00,  0.6915095,     100.00,  0.9117623,     100.00,  0.8733720,     100.00,  0.7084479,     100.00,  0.8224506,     100.00,  0.9336050,     100.00,  0.8235245, -0.2892575,  0.0988840,    50
         Q5SJT7,      45.74,  0.4718210,      30.28,  0.4199070,      29.97,  0.4353034,       7.57,  0.2276568,       5.68,  0.2472697,      22.71,  0.3541080,      20.50,  0.3593443, -0.0701564, -0.1443600,   317
         Q5SJT6,      62.50,  0.5902331,      75.00,  0.6412979,      55.00,  0.5513535,      70.00,  0.5962225,      52.50,  0.5896859,      77.50,  0.7184442,      57.50,  0.5226473, -0.1942574,  0.0540365,    40
         Q5SJT5,      32.47,  0.3852168,      40.26,  0.4196260,      44.16,  0.3745525,      20.78,  0.3327468,       3.90,  0.2322550,      41.56,  0.4494664,      12.99,  0.3032185,  0.0173011, -0.0287763,    77
         Q5SJT3,      35.27,  0.4047757,      35.50,  0.4259765,      41.30,  0.4365337,       4.18,  0.1904415,       3.02,  0.2036320,       8.35,  0.2730520,       2.32,  0.2496464, -0.0053479, -0.1633557,   431
         Q5SJT1,       4.79,  0.1011976,       4.79,  0.2240438,       0.00,  0.1563025,       0.00,  0.0212922,       0.00,  0.0104119,      11.38,  0.1859571,       0.00,  0.0904838,  0.2931078, -0.5430309,   167
         Q5SJT0,      54.59,  0.5476517,      18.38,  0.3631279,      28.11,  0.3810338,       5.41,  0.1570119,       0.00,  0.1298847,      24.32,  0.3591357,       3.24,  0.2594687, -0.1453385, -0.2556664,   185
         Q5SJS6,      61.43,  0.5737783,      52.86,  0.5457155,      50.00,  0.5400699,      41.43,  0.4383285,      37.14,  0.4266292,      60.00,  0.5645735,      55.71,  0.5148491, -0.1728288,  0.0464082,    70
         Q5SJS5,      60.53,  0.5674509,      60.53,  0.5075147,      55.26,  0.5320418,      26.32,  0.4156671,      26.32,  0.4388851,      39.47,  0.4591362,      25.00,  0.3981090, -0.1637311, -0.1529014,    76
         Q5SJS3,       0.00,  0.0835259,      10.48,  0.1752578,       0.00,  0.1071760,       0.00,  0.0179981,       0.00,  0.0031772,      10.48,  0.2141335,       0.00,  0.0823488,  0.3076473, -0.6263118,   105
         Q5SJS2,      34.12,  0.3986108,      27.49,  0.4105610,      37.91,  0.4346044,       8.53,  0.1710237,       1.90,  0.1737279,      25.59,  0.3218093,      10.90,  0.2459555,  0.0015720, -0.3093289,   211
         Q5SJS1,      52.81,  0.5076999,      35.39,  0.4463622,      54.49,  0.5104325,      10.67,  0.2525826,       5.06,  0.2482537,      21.35,  0.3557230,       7.87,  0.3017703, -0.1093698, -0.1256426,   178
         Q5SJS0,      41.10,  0.4699713,       8.90,  0.2971141,      13.80,  0.2776951,       5.52,  0.1602687,       3.37,  0.1679272,       7.36,  0.2420997,       0.00,  0.2228969, -0.0679691, -0.2795112,   326
         Q5SJR8,      33.60,  0.3861659,      27.03,  0.3952607,      34.65,  0.4103413,       7.09,  0.2199595,       2.62,  0.2102941,      14.44,  0.2635149,       5.77,  0.2458659,  0.0151127, -0.2178297,   381
         Q5SJR7,      33.66,  0.3834595,      14.52,  0.3685509,      13.53,  0.3877297,       3.63,  0.1511730,       0.66,  0.1497858,       7.59,  0.2620182,       1.98,  0.2191647,  0.0174918, -0.2629418,   303
         Q5SJR6,       7.91,  0.1270052,       1.98,  0.1421202,       0.00,  0.1087974,       0.00,  0.0113364,       0.00,  0.0049256,      10.28,  0.1745311,       0.40,  0.0766531,  0.2634897, -0.5529891,   253
         Q5SJR5,       3.59,  0.0732436,       5.18,  0.1421543,       0.00,  0.0805803,       0.00,  0.0135474,       0.00,  0.0040903,      10.36,  0.1677391,       0.00,  0.0667958,  0.3131928, -0.4879818,   251
         Q5SJR4,      52.04,  0.4483775,      52.35,  0.4930404,      35.42,  0.3991740,      11.29,  0.2647165,       9.40,  0.2803900,      14.73,  0.3483054,       7.84,  0.3058050, -0.0507464, -0.1668230,   319
         Q5SJR3,     100.00,  0.7844330,     100.00,  0.9046525,     100.00,  0.8711700,      56.10,  0.5659236,      83.74,  0.6771344,     100.00,  0.8469008,     100.00,  0.7750356, -0.3827940, -0.0504413,   123
         Q5SJR2,      10.64,  0.2707298,      21.28,  0.3422423,       0.00,  0.1520310,      14.89,  0.2204660,       0.00,  0.1148597,      29.79,  0.3751493,       2.13,  0.2205745,  0.1331894, -0.3351277,    47
         Q5SJR0,      17.68,  0.1879138,      14.49,  0.2618814,       6.67,  0.1478984,       3.77,  0.1070440,       0.00,  0.0657400,       8.12,  0.2054950,       6.96,  0.1626621,  0.2012498, -0.2719437,   345
         Q5SJQ8,      43.80,  0.4164873,      20.07,  0.3813123,      36.50,  0.4047183,       5.11,  0.1872771,       1.09,  0.1991144,      12.04,  0.2795447,       2.55,  0.2439560, -0.0153158, -0.2341935,   274
         Q5SJQ7,      44.64,  0.4683712,      21.43,  0.3882844,      12.14,  0.3462957,       9.29,  0.2062485,       3.93,  0.2190324,      13.57,  0.2949074,       4.64,  0.2628074, -0.0680074, -0.2184794,   280
         Q5SJQ5,      34.03,  0.4423233,      37.50,  0.4580329,      52.08,  0.4658330,       6.25,  0.1970715,       2.78,  0.1934394,      15.28,  0.3299007,       2.78,  0.2701280, -0.0430074, -0.1703408,   144
         Q5SJQ4,      39.13,  0.4389468,      26.85,  0.3838115,      23.02,  0.3567436,       6.39,  0.2295999,       5.88,  0.2370811,       9.72,  0.2702400,      13.30,  0.3194038, -0.0394748, -0.1838721,   391
         Q5SJQ3,      69.88,  0.5903510,      32.82,  0.4422515,      34.75,  0.4534047,       6.95,  0.2620876,       4.63,  0.2859783,      17.37,  0.3510113,      13.51,  0.3975143, -0.1879640, -0.1847405,   259
         Q5SJQ2,      46.39,  0.4542869,      29.92,  0.4321023,      42.97,  0.4634247,       6.43,  0.1966014,       3.61,  0.2067926,       9.84,  0.3057023,       8.23,  0.3431516, -0.0545787, -0.2309529,   498
         Q5SJQ0,      40.24,  0.4201875,      13.01,  0.3078789,       9.76,  0.2389964,       5.69,  0.1966053,       2.44,  0.2108631,      11.79,  0.2465390,       6.50,  0.2701784, -0.0210054, -0.1690494,   246
         Q5SJP9,      40.97,  0.4256614,      21.36,  0.3399780,      14.76,  0.2840288,       6.02,  0.2155675,       3.11,  0.2360376,       7.77,  0.2362237,       1.17,  0.2422447, -0.0255196, -0.1886516,   515
         Q5SJP6,      15.99,  0.2446593,      11.60,  0.3210745,       7.84,  0.2009451,       3.45,  0.1995916,       6.58,  0.2110083,       7.21,  0.1891270,       4.08,  0.1942435,  0.1528585, -0.0981055,   319
         Q5SJP5,      55.37,  0.5605199,      54.24,  0.5450119,      45.76,  0.4862380,       9.60,  0.2063655,      16.38,  0.2583592,      35.03,  0.4216401,      30.51,  0.4130225, -0.1570258, -0.2030522,   177
         Q5SJP4,      59.78,  0.5352169,      38.04,  0.4046248,      38.04,  0.4049377,       9.78,  0.1767402,       0.00,  0.1526560,      28.26,  0.4152451,       9.78,  0.2807472, -0.1351270, -0.3246374,    92
         Q5SJP3,      27.21,  0.3271806,      15.44,  0.3504787,       3.68,  0.2657516,      11.03,  0.2124515,       8.09,  0.2275745,      22.06,  0.3068838,      11.03,  0.2374283,  0.0731691, -0.2871936,   136
         Q5SJP1,      73.76,  0.6041517,      19.15,  0.3484962,      23.40,  0.3998896,       8.51,  0.2228539,       2.13,  0.2392120,      17.73,  0.3361841,      13.48,  0.3584646, -0.2019170, -0.1527753,   141
         Q5SJP0,      41.62,  0.4191445,      24.55,  0.4036390,      21.71,  0.3510684,       5.24,  0.2249730,       4.19,  0.2594737,      12.13,  0.2676380,      17.07,  0.3209895, -0.0202155, -0.2145382,   668
         Q5SJN9,      59.41,  0.5510305,      47.65,  0.4953431,      51.18,  0.5256884,      19.41,  0.2979343,      17.06,  0.3359914,      34.12,  0.3978616,      40.00,  0.4339748, -0.1507280, -0.1935017,   170
         Q5SJN8,      36.29,  0.3874024,      23.79,  0.3444083,       8.47,  0.2991971,       3.23,  0.1733278,       0.40,  0.1638151,      11.29,  0.2344145,       2.42,  0.2172281,  0.0104200, -0.0734167,   248
         Q5SJN7,      30.06,  0.3549834,      12.72,  0.3440248,       0.00,  0.2473406,      10.98,  0.2527167,       2.89,  0.2296418,      15.61,  0.2577582,       2.89,  0.2398542,  0.0430836, -0.1532310,   173
         Q5SJN6,      38.39,  0.3878050,      26.63,  0.3750008,      17.96,  0.2616089,       4.95,  0.2582155,       3.41,  0.2759603,      10.84,  0.2527978,      18.58,  0.3018980,  0.0102627, -0.0742742,   323
         Q5SJN5,      46.80,  0.4573118,      18.23,  0.3845620,      12.81,  0.3751532,       9.85,  0.2230030,       6.90,  0.2378986,      14.29,  0.2994572,      11.82,  0.3295643, -0.0572624, -0.1519638,   203
         Q5SJN4,      53.04,  0.5061827,      28.12,  0.4224592,      35.14,  0.4211325,       9.90,  0.2268310,       4.79,  0.2459648,      17.25,  0.3123917,      22.68,  0.3558269, -0.1065258, -0.0889249,   313
         Q5SJN3,      56.90,  0.4982605,      21.84,  0.3693459,      24.43,  0.3559672,       4.31,  0.1979972,       0.29,  0.2324858,       7.47,  0.2813053,       1.15,  0.2632324, -0.0991138, -0.2419197,   348
         Q5SJN2,       0.38,  0.0451430,       1.89,  0.1259427,       0.00,  0.1123096,       0.00,  0.0104196,       0.00,  0.0054822,       4.15,  0.1150638,       0.00,  0.0503419,  0.3442330, -0.5512149,   265
         Q5SJN1,       6.41,  0.1117568,       3.20,  0.1416252,       0.00,  0.0861631,       0.36,  0.0139356,       0.00,  0.0083399,       7.12,  0.1394725,       0.36,  0.0691883,  0.2817924, -0.5144578,   281
         Q5SJN0,      23.57,  0.2753960,      17.38,  0.3085224,       8.57,  0.2255392,       7.38,  0.1938889,       3.33,  0.1696845,       7.62,  0.1977679,       4.05,  0.1908766,  0.1203854, -0.1154916,   420
         Q5SJM9,      15.55,  0.2653822,      12.53,  0.3178948,       3.02,  0.2106359,       3.71,  0.1981241,       2.78,  0.2165925,       5.34,  0.1769726,       3.71,  0.1958277,  0.1344433, -0.1843843,   431
         Q5SJM7,      48.60,  0.5012388,      42.99,  0.4250575,      52.34,  0.4269104,       9.35,  0.2814608,       2.80,  0.2716996,      17.76,  0.3457359,       8.41,  0.3041988, -0.1008929, -0.1572175,   107
         Q5SJM2,      27.57,  0.3426506,      23.68,  0.3868707,      16.82,  0.3281719,       6.07,  0.1855639,       2.80,  0.1799487,       7.17,  0.2260024,      10.59,  0.2748681,  0.0580635, -0.1534006,   642
         Q5SJM0,      41.70,  0.4519399,      52.83,  0.5181873,      55.87,  0.5085350,       9.11,  0.2528745,       9.31,  0.2938086,      18.42,  0.3360937,      23.89,  0.3935735, -0.0523950, -0.2279202,   494
         Q5SJL9,      40.67,  0.4048001,      32.53,  0.3948401,      25.33,  0.3623340,       3.60,  0.1696186,       1.47,  0.1898184,       6.13,  0.2395348,       0.00,  0.2331018, -0.0056574, -0.2414503,   750
         Q5SJL8,      58.22,  0.5902798,      56.16,  0.6451921,      47.95,  0.5610684,      52.05,  0.4734220,      56.16,  0.5709881,      60.27,  0.5776232,      56.16,  0.5697623, -0.1869287,  0.0775509,   146
         Q5SJL7,      49.02,  0.4962687,      23.53,  0.4726437,      29.41,  0.4089909,      19.61,  0.3383274,       0.00,  0.2480702,      50.98,  0.4866735,       9.80,  0.3403305, -0.0948457, -0.0327618,    51
         Q5SJL6,      48.86,  0.4415103,      37.79,  0.4418186,      41.04,  0.4330086,       3.58,  0.1696000,       2.28,  0.1892911,      10.10,  0.3037429,       0.98,  0.2576605, -0.0402183, -0.3042345,   307
         Q5SJL5,      15.82,  0.2829892,      15.82,  0.3381354,      10.75,  0.2694414,       5.07,  0.1895376,       2.99,  0.1811072,       6.87,  0.2039918,       1.19,  0.1992935,  0.1126082, -0.1829293,   335
         Q5SJL4,      36.55,  0.4217702,      43.65,  0.4821855,      39.59,  0.4736665,      15.23,  0.2642349,       7.61,  0.2834873,      15.74,  0.3414533,       1.02,  0.2988553, -0.0224808, -0.1349449,   197
         Q5SJL3,      44.72,  0.4649580,      62.42,  0.5396014,      52.17,  0.4820961,       4.35,  0.2330339,       2.48,  0.3065867,      16.15,  0.3242619,      21.43,  0.3917564, -0.0621456, -0.1432351,   322
         Q5SJL2,      37.68,  0.4101784,      20.00,  0.3586016,      13.89,  0.3201983,       2.11,  0.1828689,       1.26,  0.2028341,       4.00,  0.2150154,       1.26,  0.2282498, -0.0088890, -0.2266412,   475
         Q5SJL1,      54.10,  0.5339199,      95.08,  0.6088039,     100.00,  0.6312334,      19.67,  0.3495901,       1.64,  0.3122062,      54.10,  0.5929528,      19.67,  0.3995788, -0.1299951,  0.0738767,    61
         Q5SJK9,      47.28,  0.4647612,      45.52,  0.4555183,      45.24,  0.4428747,       7.47,  0.1759030,       5.84,  0.1959830,      14.40,  0.2979385,      13.99,  0.3388300, -0.0650183, -0.1855659,   736
         Q5SJK8,      10.08,  0.1905401,      10.08,  0.2614502,       0.00,  0.1716583,       2.33,  0.1044597,       0.00,  0.0487551,      16.28,  0.2637966,       0.00,  0.1448336,  0.2059752, -0.3861543,   129
         Q5SJK6,      42.92,  0.4341933,      22.92,  0.3994870,      24.17,  0.4277710,      12.50,  0.2167113,      10.42,  0.2284110,      14.17,  0.3003136,      13.33,  0.3344812, -0.0346741, -0.1816321,   240
         Q5SJK1,      68.42,  0.5471495,      33.33,  0.4158643,      22.81,  0.3949209,       4.39,  0.2490518,       7.46,  0.2669458,      16.23,  0.3358510,       3.07,  0.3024770, -0.1461873, -0.2272626,   228
         Q5SJK0,      31.03,  0.3388388,      10.26,  0.2905973,       5.73,  0.1901668,       5.01,  0.1784862,       2.39,  0.1936460,      10.02,  0.2311810,       5.01,  0.2054582,  0.0596328, -0.3337263,   419
         Q5SJJ9,      52.88,  0.5618310,      69.23,  0.7045027,      77.88,  0.7249218,      22.12,  0.3961019,      34.62,  0.4659310,      62.50,  0.5974418,      56.73,  0.5751216, -0.1593535,  0.0061525,   104
         Q5SJJ7,      28.79,  0.3361230,      37.50,  0.4181645,      29.17,  0.3859121,       0.76,  0.1549644,       0.38,  0.1384483,       3.03,  0.2381082,       0.38,  0.2143013,  0.0641896, -0.3115159,   264
         Q5SJJ6,      31.31,  0.3670253,      11.21,  0.3204086,       8.88,  0.2626993,       4.21,  0.1850561,       1.40,  0.1804939,      10.75,  0.2379406,       3.74,  0.2151541,  0.0332192, -0.1719415,   214
         Q5SJJ5,      72.60,  0.6093102,      20.55,  0.4067705,      56.16,  0.4847706,      12.33,  0.2352575,       0.00,  0.1956340,      53.42,  0.5351254,       4.11,  0.3303497, -0.2078191, -0.2398306,    73
         Q5SJJ4,      42.22,  0.4430737,      33.15,  0.4174805,      24.08,  0.3695993,       8.62,  0.2516648,      12.65,  0.3067480,      10.19,  0.2710125,      15.79,  0.3432631, -0.0434624, -0.1201294,   893
         Q5SJJ3,      70.41,  0.6201234,      46.94,  0.4918531,      60.20,  0.5531491,      19.39,  0.3224378,      18.37,  0.3607396,      33.67,  0.4684944,      31.63,  0.4694662, -0.2176248, -0.1271990,    98
